2021-04-03T00:39:41.696787400  		Info		getData		Connected to database
2021-04-03T00:39:41.698788100  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.741761700  		Info		getData		Connected to database
2021-04-03T00:39:41.744759800  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.787734600  		Info		getData		Connected to database
2021-04-03T00:39:41.789733400  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.825713700  		Info		getData		Connected to database
2021-04-03T00:39:41.828712800  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.867690700  		Info		getData		Connected to database
2021-04-03T00:39:41.869688  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.905668100  		Info		getData		Connected to database
2021-04-03T00:39:41.907666100  		Info		getData		User 9 have gotten
2021-04-03T00:39:41.908666100  		Info		getData		Chats have gotten
2021-04-03T00:39:44.978908200  		Info		getData		Connected to database
2021-04-03T00:39:44.980907900  		Info		getData		Notifications have gotten
2021-04-03T00:39:45.023884400  		Info		DeleteData		Connected to database
2021-04-03T00:39:45.026881800  		Info		DeleteData		Notifications of user 7 deleted
2021-04-03T00:39:52.184785400  		Info		getData		Connected to database
2021-04-03T00:39:52.187783300  		Info		getData		User 9 have gotten
2021-04-03T00:39:52.233757300  		Info		getData		Connected to database
2021-04-03T00:39:52.235755400  		Info		getData		User 10 have gotten
2021-04-03T00:40:23.391928500  		Info		getData		Connected to database
2021-04-03T00:40:23.393926200  		Info		getData		tweets of user 10 have gotten
2021-04-03T00:40:23.431904300  		Info		getData		Connected to database
2021-04-03T00:40:23.433905  		Info		getData		Follow requests of user 10 have gotten
2021-04-03T00:40:23.567825400  		Info		getData		Connected to database
2021-04-03T00:40:23.569824800  		Info		getData		Notes of user 10 have gotten
2021-04-03T00:40:23.604804800  		Info		getData		Connected to database
2021-04-03T00:40:23.607802300  		Info		getData		Blocked users by user 10 have gotten
2021-04-03T00:40:23.648778900  		Info		getData		Connected to database
2021-04-03T00:40:23.650779700  		Info		getData		Followers of user 10 have gotten
2021-04-03T00:40:23.688756600  		Info		getData		Connected to database
2021-04-03T00:40:23.690755500  		Info		getData		Followings of user 10 have gotten
2021-04-03T00:40:23.735729700  		Info		getData		Connected to database
2021-04-03T00:40:23.738728600  		Info		getData		Chats have gotten
2021-04-03T00:40:38.890028400  		Info		Submit		Connected to database
2021-04-03T00:40:38.890028400  		Info		Submit		User 7 sent a follow request for user 10
2021-04-03T00:40:52.048512400  		Info		Submit		Connected to database
2021-04-03T00:40:52.054603  		Info		Submit		Last seen of user 7 submitted
2021-04-03T00:40:52.054603  		Info		Commands		User 7 logged out
2021-04-03T00:40:57.621009700  		Info		LogIn		Connected to database
2021-04-03T00:41:32.015632700  		Info		LogIn		username of the user checked
2021-04-03T00:41:32.180308100  		Info		getData		Connected to database
2021-04-03T00:41:32.182287  		Info		getData		User 10 have gotten
2021-04-03T00:41:34.926745400  		Info		LogIn		User 10 logged in
2021-04-03T00:41:36.989701  		Info		getData		Connected to database
